number of points;est
50;3.12
50;2.96
50;3.04
50;3.52
50;3.28
50;3.6
50;3.04
50;3.36
50;3.12
50;2.72
50;3.12
50;3.04
50;3.28
50;2.8
50;3.04
50;3.12
50;3.04
50;2.88
50;3.2
50;3.52
50;3.12
50;3.12
50;3.12
50;3.36
50;3.28
50;3.2
50;3.44
50;3.12
50;3.2
50;3.28
50;3.2
50;3.2
50;3.12
50;3.2
50;3.44
50;3.04
50;3.04
50;3.36
50;2.56
50;2.8
50;3.28
50;3.04
50;3.2
50;3.12
50;3.44
50;3.36
50;3.68
50;3.12
50;3.28
50;3.28
100;3.08
100;3.04
100;3.04
100;2.88
100;3.28
100;3.12
100;3.24
100;3.32
100;3.24
100;3.28
100;3.28
100;3
100;2.96
100;2.92
100;3.08
100;3.08
100;3.16
100;3
100;3.28
100;2.92
100;3.44
100;3.2
100;3.44
100;3.28
100;3.28
100;2.8
100;3.12
100;3.2
100;2.96
100;3.28
100;3.24
100;2.92
100;2.8
100;3.16
100;3.32
100;3.04
100;3.12
100;3.32
100;3.28
100;3.12
100;3.12
100;2.96
100;3.16
100;3.32
100;3.32
100;3.2
100;3.12
100;3.2
100;3.08
100;3.32
150;3.30667
150;2.96
150;3.2
150;3.28
150;3.14667
150;3.04
150;3.04
150;3.12
150;3.22667
150;3.09333
150;3.22667
150;3.09333
150;3.14667
150;3.25333
150;3.14667
150;2.96
150;3.01333
150;2.74667
150;3.30667
150;2.90667
150;2.93333
150;3.2
150;3.28
150;3.2
150;3.22667
150;3.04
150;3.14667
150;3.22667
150;3.01333
150;3.01333
150;2.96
150;3.28
150;3.33333
150;2.96
150;2.98667
150;3.12
150;3.01333
150;3.04
150;3.33333
150;2.85333
150;2.8
150;3.17333
150;2.93333
150;2.90667
150;3.14667
150;3.22667
150;3.09333
150;3.06667
150;3.25333
150;3.04
200;3.26
200;3.22
200;3.32
200;3.12
200;3.08
200;3.22
200;3.24
200;3
200;3.24
200;3.2
200;3.18
200;3.14
200;3.1
200;3.32
200;3.34
200;3.12
200;3.14
200;3.2
200;3.2
200;3.32
200;3.12
200;3.2
200;3.3
200;3.06
200;3.22
200;3.34
200;3.2
200;3.2
200;3.26
200;3.22
200;3.26
200;3.14
200;3.08
200;3.34
200;3.34
200;3.04
200;3.14
200;3.38
200;3.18
200;3.14
200;3.12
200;3.1
200;3.06
200;3.24
200;3.12
200;3.26
200;3.06
200;3.12
200;3.2
200;3.1
250;3.024
250;3.088
250;3.136
250;3.232
250;3.28
250;3.168
250;3.184
250;2.976
250;3.088
250;3.008
250;2.96
250;3.232
250;3.216
250;3.136
250;3.152
250;3.312
250;3.2
250;3.216
250;3.264
250;3.008
250;2.976
250;3.344
250;3.104
250;3.056
250;3.136
250;2.896
250;3.088
250;3.28
250;3.184
250;3.12
250;3.12
250;3.184
250;3.216
250;3.264
250;3.104
250;3.232
250;3.184
250;3.152
250;3.12
250;3.072
250;3.248
250;3.104
250;3.008
250;3.136
250;2.992
250;3.136
250;3.056
